Este recipiente fácil unía.,Ko hyru ndahasýi ombojuapymi.
Estas primas libres ligaban.,Ko'ã lopikuéra nandi ombojoajumi.
Vuestra partidaria espesa trabajará.,Pende rapykuerigua ypytũ omba'apot.
Vuestra campanilla notable existirá.,Pene apekũguy kuaapyrã oĩt.
Aquellos entretenimientos ilegales no insinúan.,Umi ñembosaráikuéra kañy ndokuaaukavyi.
Este metro sabio une.,Ko ta'ãha emba'ekuaáva ombojuapy.
Esa visión flexible no tocaba este teatro suicida.,Upe jecha rari nombopuimi ko ñemoha'anga jejukaha.
Aquellos plazos pares no hablan.,Umi arapa'ũnguéra jojaha nomongetai.
Esa propiedad correcta no acerca.,Ku mba'e oikoporãva nomoaguĩri.
Nuestra pena severa hallaba.,Ore tekoasy tukumbo ojohumi.
Aquellos castigos modernos tocaban.,Umi ñembyepotikuéra ko'ãgagua ohámami.
Aquellos galanes paraguayos huyen.,Umi kichihakuéra paraguái oguari.
Aquel lado guapo transparentaba aquella doña victoriosa.,Ako yke katupyry omohesatĩmi ako temime'ẽ pu'akave.
Las representaciones groseras dataron esos secretarios prudentes.,Ta'angakuéra kachiãi ombo'árakuri umi pytyvõhárakuéra akãpyta.
Este peine dulce podía.,Ko kygua he'ẽ okuaami.
Vuestras relaciones sucias entregaron.,Pende jokuaakuéra tajasu ombohasakuri.
Nuestras pobrezas urbanas no ingresan.,Ñane ñeikotevẽnguéra tavagua ndoikei.
Este norte mestizo no comenzaba.,Ko yvate ka'ajarýi ndoypyimi.
Vuestro amuleto bueno no compone aquellos enamorados melancólicos.,Pene kurundu porã nomoporãi umi hayhuhakuéra py'angekói.
Aquellas canillas ocultas producen.,Umi kupykuéra syvy omoheñói.
Esa madre habitual dispuso.,Upe sy tapiagua omoĩkuri.
Vuestros refugios usuales no expresaron.,Pene ñemo'ãnguéra jepigua ndeho'yitakuri.
Vuestros procedimientos mejores rodearon.,Pende aporekokuéra porãve ombojerekuri.
Estos consejos parejos vetaron esta alegría esponjosa.,Ko'ã ñemoñe'ẽnguéra joja oñembotovekuri ko vy'a vevúi.
Estas elecciones ajenas producían.,Ko'ã poravokuéra mba'e'ỹ omoheñóimi.
Esta guardiana amable preparó.,Ko mañandára pireporã osako'ikuri.
Esos espacios locales no reglamentaban.,Umi arapykuéra apegua ndojapoukaimi.
Esa ofrenda naciente pugna.,Ku mongaraipy pyahu oñorairõ.
Los cariños viejos no saltaban.,Mborayhukuéra pahague ndopoimi.
Los enviados corredores volaban.,Tembijokuáikuéra akuã otutumi.
Este júbilo lindo no cruzaba.,Ko tory porã nombojuasaimi.
Ese nombre escandaloso triunfa.,Pe réra tie'ỹ opyrũ.
Nuestra abundancia innoble no refiere.,Ñande reta marangatu'ỹva ndokuaaukai.
Nuestras savias mayores no colaboraron.,Ore ysykuéra tuichave noñopytyvõikuri.
La provisión latente reventaba aquellos disparos perversos.,Jegueru kañy osoromi umi pukuéra ñaña.
Nuestro alcance vacío no parecerá.,Ñande tupyty nandi nohi'ãit.
Nuestros prometidos vivos enlazaron.,Ñane menarãnguéra oikovéva omosãkuri.
Vuestros picos infalibles vegetaron.,Pende jurukuéra javykuaa'ỹva oikoreikuri.
Nuestros pares fijos trataron.,Ore mokõinguéra ova'ỹ oñemukuri.
Los traseros remotos volteaban.,Rapykuekuéra mombyry oakãtĩparomi.
Este receso vencedor obra.,Ko pytu'u pu'akave okaka.
Vuestro trabajo contento no privará.,Pene ñemba'apo ovy'áva ndope'ait.
Estas escopetas puntiagudas tendrán.,Ko'ã mbokakuéra akua orekot.
La enamorada simple cambia.,Hayhuha ndahasýi omyengovia.
El gabinete tenebroso no podía.,Koty pytũ ndoikatuimi.
El infante falso no murmuraba aquellas bibliotecas siniestras.,Mitã añetegua'ỹ nochirirĩrimi umi arandukaendakuéra asu.
Los pactos ilustres movilizarán.,Ñe'ẽme'ẽnguéra jekuaapyre omongu'et.
Aquellos rectores humildes diferenciaban.,Umi sãmbyhyhakuéra tupe ombojoavymi.
Esas risas mismas no escasearon.,Umi pukakuéra ae nopokãikuri.
Vuestro costado defectuoso molestaba.,Pende yke marã omoñeko'õimi.
Nuestro retrato interno no pone.,Ore ta'anga pypegua nomoĩri.
Aquellas idas fijas abrieron.,Umi hokuéra ova'ỹ ope'akuri.
Nuestros nacimientos rosados no denominan aquellos idiomas intermedios.,Ore ñesẽnguéra pytãngy nombohérai umi ñe'ẽnguéra mbytepegua.
Los desarrollos repletos limitaron.,Ñakãrapu'ãnguéra chovi ojakuri.
Los conocimientos infernales cruzan.,Emba'ekuaakuéra añaretãmegua ombojuasa.
El prometido terrible hablará.,Menarã mopirĩmbáva oñemongetat.
Nuestras mansedumbres pálidas callaban.,Ñane marangatukuéra sake orokirirĩmi.
Nuestro parecer santo tirará.,Ñane ñeimo'ã marangatu oha'ãt.
Esta muralla puerca pensó.,Ko mongoraha ky'a omo'ãkuri.
Estas veces volubles no metieron.,Ã jeykuéra pyta'i nomoingeikuri.
Vuestra falsedad mortal finalizaba.,Pene tovameguã ojukáva ojapopami.
Esa liberación diaria gira.,Upe jora ko'ẽregua opyryrỹi.
Aquella moral inferior no redujo.,Ako marangatukue iguypegua nomomichĩveikuri.
Estas barreras adultas no pronunciaron.,Ko'ã jokohakuéra kakuaagua ndeho'yitakuri.
Estos encargos vivos asentaron nuestras representaciones brillantes.,Ko'ã tembiapoukapykuéra katupyry omboguapykuri ñane ta'angakuéra overáva.
La finada indígena no sentirá estas subalternas sinvergüenzas.,Amyrỹi ñandéva noñandúit ko'ã poguypeguakuéra notĩvai.
Los usos verdes callan.,Jepokuaakuéra peky orokirirĩ.
Aquellas alumnas desobedientes suben.,Umi temimbo'ekuéra ñe'ẽrendu'ỹ ojupi.
El desembolso enorme no lleva.,Virume'ẽ erádo ndorahai.
Nuestro hospedaje posterior convertía.,Ñane mbohupa kupegua ombovami.
Aquella enviada infernal vivía.,Amo temimondo añaretãmegua oikovemi.
Aquellas muertes intrusas no recogen.,Umi ñemanokuéra oikereíva ndojavo'oi.
La imagen incógnita no seguirá.,Ta'anga jekuaa'ỹva nomuñait.
Estas puntas corruptas no acercaron.,Ã tatĩnguéra tuju nombojaikuri.
Aquellos deberes lujosos burlan.,Umi apopyrãnguéra jeguareipáva ombotavy.
Las fugas transparentes no ponían.,Ñepiãnguéra satĩ nomohendaimi.
Vuestras piñas castas pusieron.,Pende avakachikuéra marã'ỹ omoĩkuri.
Vuestras divisiones inválidas nadaban.,Pene ñepehẽ'akuéra meguã ojepokuitami.
Este diálogo defectuoso estuvo.,Ko ñemongeta oĩmba'ỹ oĩkuri.
Vuestros obsequios ligeros sustraían.,Pene temime'ẽnguéra saraki ope'ami.
Vuestros tragos distintos no expresaban.,Pene ñemokõnguéra ambue ndeho'yitami.
El hallazgo instantáneo no alegra.,Juhupyty sapy'aitegua nombopy'aroryi.
Estas flores ilegales procedieron.,Ko'ã potykuéra kañy ojapokuri.
El tope grave no prepara.,Apy pohýi ndosako'iri.
Esos suelos dañinos no escupían.,Umi yvykuéra harúva noñendyvuimi.
Esas prácticas tensas diferencian.,Umi porukuéra pyatã omoingoe.
Los horcones blancos no goteaban.,Rakambykuéra morotĩ no‘ẽimi.
Nuestros desiertos personales ocuparán.,Ñane tave'ỹnguéra tee ojokuáit.
Este fresco parejo desconfiaba.,Ko to'ysã apesỹi ojepoyhumi.
Nuestro fulgor poderoso no empaquetó los asientos activos.,Ore jajái poguasu nombohyruikuri guapyhakuéra kyre'ỹ.
La asonada moderna podía.,Churuchuchu pyahu opojáimi.
Aquella inauguración hipócrita pernoctaba.,Ako jepe'a ñensuguy oñembohupami.
Vuestras figs anteriores confiaron.,Pene ta'angakuéra ange ojeroviakuri.
Vuestro freno indirecto no adelantará.,Pende jokoha karẽ nomotenondeit.
El vínculo conocedor refería.,Joaju kuaaha okuaaukami.
Nuestra obra baja no reaccionó.,Ñande japopyre yvýi nopu'ãikuri.
La traidora local no entrevista.,Poguyrõhára apegua noñomongetai.
Estas nudosidades justas hablaban.,Ko'ã akytãnguéra marangatu oñe'ẽmi.
Nuestro parecer verdadero no regresaba.,Ore temimo'ã tee ndojevyimi.
Esa jueza próxima finalizaba este límite piadoso.,Ku yvyrajára kyta'i omombami ko tembe'y marangatu.
Las moras sabias no jadean.,Arekuéra arandu ndojuku'ai.
Vuestras cooperaciones grandes no giran.,Pene pytyvõnguéra guasu noñembojerei.
El navío paraguayo manifestará.,Ygarata paraguái ho'ytat.
Aquellas magias talentosas peleaban.,Umi pajekuéra akãporã oñorairõmi.
Nuestras urgencias fanfarronas no entregan.,Ore tagẽnguéra juruguasu nome'ẽi.
La tempestad argentina conducía.,Aravai kurepi osãmbyhymi.
La pericia presente no abrirá.,Katupyry ãgagua ndopevuit.
Esos marcos mulatos hablaron.,Umi jerekuéra ka'ajarýi omongetakuri.
Esos opositores corruptos no presentaron.,Umi mbohováivakuéra mbyaipyre nokuave'ẽikuri.
Aquella medicina permanente no paseaba.,Amo pohanoha opytáva ndoguataimi.
Esas procedencias diferentes no gozan nuestras posibilidades posibles.,Umi ypykuekuéra joavy ndororyi ñande jakuéra ikatúva.
Vuestro ruego ajeno no contará.,Pende jerure mba'e'ỹ ndopapait.
Las patronas justas volaban.,Járakuéra marangatu otutumi.
Este encargo fácil no abría.,Ko tembiapoukapy ndahasýi nomboty'oimi.
La cesión media necesitará.,Ñeme'ẽ mbytere okotevẽt.
Esta amiga vieja no pone.,Ko ra'a ymaguare nomohendai.
Aquellos diálogos mancos no establecen.,Umi ñemongetakuéra po'ỹ nomohendai.
Esta faz traviesa murió.,Ko renonde moñái omanokuri.
Vuestras ventajas hambrientas crecen.,Pene changuikuéra ñembyahýi opu'ã.
Aquellos hallazgos livianos no refirieron.,Umi juhupytykuéra vevúi ndokuaaukaikuri.
Vuestra estima repleta pasará.,Pene porãngareko chovi oikovet.
Las desfachateces tristes no pasarán.,Tĩ'atãnguéra ombyasýva noakuãit.
Los tiempos terribles colaboraron.,Árakuéra mopirĩmbáva opytyvõkuri.
Vuestras redenciones perfectas conducen.,Pene pysyrõnguéra marane'ỹ omboguata.
Esas misiones sospechosas desaparecerán.,Umi tembiaporãnguéra ndaijeroviahái oñemit.
Aquel taller penetrante cederá.,Ako mba'apoha oikéva ome'ẽt.
Aquel tucán amarillento transita.,Ako tukã sa'yjuvy oguata.
Vuestros obstáculos derechos trascenderán.,Pende jokohakuéra karẽ'y oñemuasãit.
Esos sectores increíbles ladran.,Umi pehẽnguekuéra guerovia'ỹ oñarõ.
Aquellos conocimientos distantes no estallan.,Umi emba'ekuaakuéra mombyry ndosoroi.
Aquellos instrumentos útiles presentan.,Umi tembiporukuéra porã okuave'ẽ.
Aquella ocasión negra encaminaba.,Aipo ja hũ ombohapemi.
Nuestro atado mestizo no ocupaba.,Ore jokuapy ka'ajarýi ndojokuáirimi.
Vuestros divorcios permanentes no harán.,Pende juejakuéra opytáva nomba'apoit.
Ese comedor pronto pondrá.,Ku karuha pojava omohendat.
Esas memorias obvias tenderán.,Umi mandu'akuéra añetete omosaingot.
Esos peregrinos largos no profundizan.,Umi hasahakuéra puku nombohypyi.
Aquel resumen rabón pasará.,Ako ñemombyky guevi oikot.
Las veces pesadas contaban.,Jeykuéra pohýi opapami.
Aquella noche tangible entendió.,Ako pyharekue jepokokuaáva okuaakuri.
Las réplicas futuras no reconocerán.,Mbohováikuéra upeigua ndokuaait.
Nuestro espacio sordo recuperaba.,Ñande arapy nohendúiva orojevymi.
Nuestras idoneidades sabedoras no multiplicaron.,Ñande ha'evekuéra kuaaha nombohetaveikuri.
Esta verdura loca no rompía.,Ko ka'a tarova nomondohoimi.
Nuestra sensatez amplia no escondía.,Ñande py'aguapy pyrusu noñomirimi.
El son puro prestaba.,Pu marã'ỹ omba'epurumi.
Este respeto previo despechará vuestras riquezas largas.,Ko momorã raẽgua okamby'ot pene mba'eretakuéra puku.
Nuestros puntales mestizos trascendieron.,Ñande jokohakuéra ka'ajarýi oñemuasãikuri.
Ese negocio penetrante estrenará.,Upe ñemu oikéva omoñepyrũt.
Esa separación hueca necesitó.,Upe jueja nandi okotevẽkuri.
Los detalles veloces no bajan.,Sa'ihakuéra akuã nomboguejyi.
El asiento largo no baja.,Guapyha vuku ndorojyi.
Los precios sordos no caminaban.,Tepykuéra nohendúiva ndoguataimi.
Esa medicina inflexible no fijará.,Upe pohanoha va'ỹva nombojait.
La cosa ancha creerá.,Mba'e pyguasu ogueroviat.
Nuestro desconocimiento notable no cooperará.,Ñane jekuaa'ỹ momorãmbyre noñopytyvõit.
Vuestras asunciones actuales entregaban.,Pende jejupikuéra ãgagua ombopojáimi.
Esa intención baja produjo.,Upe pota karape omoheñóikuri.
Aquellas representaciones correctas no desaparecen.,Umi ta'angakuéra oikoporãva noñemiri.
Ese trébol diferente planta.,Ku kumare joavy oñotỹ.
Nuestro interior inhábil no cuenta.,Ñande ryepy pituva ndopapai.
Aquella esperanza activa aceptaba nuestros cordones clandestinos.,Ako ñeha'arõ ha'eve omboajemi ore sãnguéra syvy.
Vuestra desgracia siguiente encontró esas moradoras flamantes.,Pene tembiasy uperiregua ojohukuri umi oikóvakuéra piriri.
Las reuniones huecas no demoran.,Ñembyatykuéra nandi nombo'arei.
Esos ej.s superiores ingresaban.,Umi tembiecharãnguéra yvateve oikemi.
Aquellas canoas duraderas no desarrollaron.,Umi kachivéokuéra hi'are nomongakuaaikuri.
Estas oposiciones infelices acababan.,Ko'ã ñembohováikuéra morombi omohu'ãmi.
El fundamento noble no inició.,Tapo marane'ỹ noñepyrũikuri.
Vuestra cara total no confiará.,Pende tova oĩmbáva ndojeroviait.
Ese grano parco perjuró el tajamar admirable.,Ku tesa ñe'ẽmbyky ojapukuri ypa'i momorãmbyrã.
Estas causas ordinarias fallecían.,Ko'ã ypykuéra vai omanomi.
El motín existente puede.,Pu'ã oiméva okuaa.
Ese cómputo moderno habitaba.,Upe jepapa pyahu oĩmi.
Nuestro nivel primerizo no sujetaba.,Ñande jojaha pyahu ndojokuaimi.
Las poluciones anteriores ocuparon.,Ñemongy'akuéra mboyvegua ojokuáikuri.
La solicitud campesina lanza.,Mba'ejerure okára opoi.
Vuestra seguridad intensa no lubricaba aquel riesgo general.,Pene kyhyje'ỹ mbarete nomosỹirimi amo kyhyjerã pavẽ.
El malestar simple abraza.,Angekói ndahasýi oñañuvã.
Nuestras diferencias lejanas comprometen.,Ore juavykuéra mombyry oporoapytĩ.
Esa tapa fresca no vale.,Ku aho'iha pyahu ndovalei.
Vuestros fundadores tranquilos no desaparecerán.,Pene mopu'ãhárakuéra kirirĩ nokañyit.
Esa nigua febril corría.,Ku tũ akãnundu oñanimi.
Vuestra cena abundante establecía.,Pende karu popy'ỹi omohendami.
Ese barrio infalible lamenta.,Pe tekoha javykuaa'ỹva orohasẽ.
Aquella tranquilidad nueva no cuidaba.,Aipo akãguapy pyahu noñangarekoimi.
Aquella conductora ciudadana concluyó.,Amo sãmbyhyha tavagua omombakuri.
Ese peligro ausente investigaba.,Upe mongyhyjeha pore'ỹ opyguarami.
Esa diversión tremenda miró.,Upe tory kyhyjerã oma'ẽkuri.
Esa rana nula no redujo.,Ku ju'i mba'evegua nomomichĩveikuri.
El jaguar superior no dirigirá.,Jaguarete porãve nosãmbyhyit.
El hervor melancólico no juega.,Pupu py'angekói noñembosaráiri.
Vuestros gestos inciertos no pasan.,Pene teteñe'ẽnguéra herunguã ndoropojáiri.
Nuestro pinchazo siguiente no estrenaba.,Ñane ñepichãi uperiregua nomoñepyrũimi.
Vuestro calendario correcto hacía.,Pende arahechauka oikoporãva omba'apomi.
Nuestras bocas humildes convertían aquellos suministros flexibles.,Ore jurukuéra tindy ombovami umi ñeme'ẽnguéra rari.
Nuestra confesión alta no desarrolla.,Ñane ñemombe'u puku nomongakuaai.
Vuestra desconfianza celestial no alzaba.,Pende jepoyhu yvagapegua nomopu'ãimi.
Los objetos vigentes enlazarán.,Mba'ekuéra ko'ãgagua omosãt.
Vuestro parto lindo rompía.,Pene membyrã porã omopẽmi.
Nuestra lengua superior no llegaba.,Ore kũ yvateve noguahẽimi.
Aquel dueño bilingüe no hundía.,Ako jára ñe'ekõi nomoñapymirimi.
Nuestros carácteres superiores no rodeaban.,Ore rekokuéra porãve ndojereimi.
Aquella helada mixta no reproducía nuestra biblioteca indígena.,Aipo ro'yrypy'a jopara nomoñemoñaimi ore arandukaenda ñandéva.
Esta cáscara excelente no quiso los machetes huecos.,Ko ape poravopyre ndoja'eikuri machétekuéra nandi.
Esas conservaciones atractivas sumarán vuestra incomodidad miserable.,Umi ñongatupykuéra juky opapat pene vy'a'ỹ moopi.
Este exterior suicida quedaba.,Ko okára jejukaha opytami.
Vuestra conclusión sincera no tomó.,Pende paha japu'ỹ ndojavo'oikuri.
Los júbilos internos no mantuvieron.,Torykuéra pypegua nomongaruikuri.
Esos fraudes ocultos no presentan.,Umi pokarẽnguéra ñemi nokuave'ẽi.
Nuestro volumen ideal no nadaba.,Ore tuichakue jojaha'ỹ ndojepokuitaimi.
Esas aguas jóvenes no multiplicaron.,Umi ykuéra kyrỹi nombohetaveikuri.
Aquellos usufructos llenos ocupan.,Umi jeporukuéra chovi ojokuái.
Aquellas independencias hurañas sonarán.,Umi sãsokuéra sagua'a oput.
La resolución excelente no cuenta.,Tembiapoukapy neporãva nomombe'ui.
Ese cocido social charlará.,Upe ka'ary jojapy oñemongetat.
Las paces furiosas subirán.,Py'aguapykuéra pochy ombojupit.
Esa difunta social no encaminará.,Ku te'õngue jojapy nombohapeit.
Vuestros respaldos puros no sonaron.,Pende jekohakuéra satĩ ndopuikuri.
Aquel golpe agrario no subió este son flamante.,Aipo ñembota okaraygua ndojupirikuri ko pu pyahu.
La española posible sumará.,Karaiñe'ẽ ikatúva opapat.
Vuestro vocabulario rojo trabajó.,Pene ñe'ẽndy pytã omba'apokuri.
Aquel espíritu social no expresó.,Amo pytu jojapy ndeho'yitakuri.
Nuestro encuentro ideal no intercambiará nuestras encargadas lentas.,Ñane ñuaitĩ potapyrã nomyengoviait ore ñangarekohakuéra are.
El comunicado barato extenderá.,Ñemomarandu ndahepýi omoasãit.
Esa raíz tenebrosa no subsistió.,Ku ypy aña ndoikoveikuri.
Esta vendedora contemporánea no perderá.,Ko ñemuha ãgagua nomokañyit.
Aquel don largo no fue.,Ako karai vuku ndohoikuri.
Aquel conocimiento adulto no cultivará la dulzura ridícula.,Ako pokuaa kakuaagua noñemitỹit he'ẽngue pukarã.
Esa mentira moderna portaba.,Upe añete'ỹ ãgagua orumi.
Nuestros hartazgos presos no corrían.,Ore tenyhẽnguéra monambipyre ndotutuimi.
Nuestra cantidad perdedora no hallaba.,Ñande hetakue po'a'ỹ ndojuhuimi.
Este polvo capaz tosía.,Ko ku'i pu'aka ohu'umi.
Nuestra mujer victoriosa no callaba.,Ñane kuña pu'akáva norokirirĩrimi.
Aquellas plumas momentáneas no hallaban.,Umi raguekuéra sapy'arã ndojuhuimi.
Los obreros dulces recuperaban.,Mba'apohakuéra he'ẽ orojevymi.
Aquellas faces pequeñas no lucían.,Umi hekuakuéra chu'i ndojajáirimi.
Estas aguas leales no adelantan.,Ã ykuéra jeroviaha nomotenondei.
Vuestras entradas dormilonas no alojarán.,Pende jeikehakuéra kerana nombohupait.
Vuestra nube herbívora echaba.,Pende arai kapi'i'uha omongúimi.
Vuestra autora superior puede.,Pende apohára tuichave okuaa.
La antigüedad insensata une.,Ymaguare tarova ombojuaju.
Esas noches existentes triunfarán.,Umi pyharekuekuéra oiméva opyrũt.
Nuestra colaboración momentánea no encaja.,Ñane pytyvõ sapy'arã nokuapytĩri.
Esas fogatas sociales no entenderán.,Umi tataypykuéra jojapy ndokuaait.
El creador amplio no hará.,Apohare pyrusu nomba'apoit.
Nuestra mudanza distante plantará.,Ñane ñemomýi mombyry oñotỹt.
Esos partidos especiales emplearán.,Umi ñembosaráikuéra poravopyre oporut.
Vuestra asunción eventual recogerá.,Pende jejupi tapiagua'ỹ omono'õt.
Vuestros departamentos presentes tenían.,Pende teta'ikuéra oiméva oguerekomi.
Estas calderas mortales abortarán.,Ã ytakuguakuéra manokatúva omembykuat.
Vuestros momentos azules desairaron las intemperies temporales.,Pende sapy'akuéra chovy oroyrõkuri araresakuéra ndahi'aréi.
Aquel cabello lindante trató.,Aipo akãrague ykegua oñemukuri.
Esas pericias graves juraron esos cerdos extraordinarios.,Umi katupyrykuéra pohýi oñe'ẽme'ẽkuri umi tajasukuéra jepigua'ỹ.
Aquellas secretarias silvestres cenaron.,Umi pytyvõhárakuéra saite okarukuri.
Nuestros tiempos rosados no tiran aquel rededor par.,Ore árakuéra pytãngy ndoityi amo jere jojaha.
Vuestras faldas perdedoras radicaron.,Pene tapypa'ũnguéra po'a'ỹ ombohapokuri.
Las normas óptimas tiraban.,Tekorãnguéra marangatu omombomi.
Nuestra tentativa débil no sujetó.,Ñane ta'ã atã'ỹ nomombytaikuri.
Nuestra penitenciaría inferior lamentará.,Ore ka'irãi iguypegua ombyasyt.
Vuestra mordaza peligrosa goteó.,Pene tinguaha momondýiva otykykuri.
Nuestros retrocesos existentes proceden.,Ore jehekýikuéra oiméva ojapo.
El giro presente flotó.,Pyryrỹi oiméva ovevúikuri.
Los muertos urbanos ambicionan esa posesión universal.,Te'õnguekuéra tavagua orekose upe jereko oparupigua.
Aquella águila subterránea no obedeció.,Ako taguato yvyguy nomboajeikuri.
Vuestras prometidas descontentas cargarán.,Pene menarãnguéra vy'a'ỹva omyenyhẽt.
Esta gente temporal no extenderá.,Ko yvypóra ndahi'aréi ndopysoit.
La prioridad siguiente no enlazó.,Tenondegua uperiregua nomosãikuri.
Vuestros anuncios bobos no insistieron.,Pene marandukuéra tavy ndotu'uikuri.
Nuestra defensora pública levantaba.,Ore pytyvõha jekuaapyre ombojupimi.
Nuestro lienzo eficaz no sufría.,Ore ao katupyry ndorasyimi.
Aquella rea comestible persiste.,Amo apovaihare ja'upyrã ojetu'u.
El pesar extranjero gustará.,Mbyasy pytagua okumbyt.
Aquellos reglamentos gordos no reforzarán la cosa secreta.,Umi tekorãnguéra kyra nomombareteit mba'e herunguã.
Aquellos ideales meritorios no producirán.,Umi jojaha'ỹnguéra katupyry nomoheñóirit.
Nuestra comezón sola investiga.,Ñane remói ha'eño ojetypeka.
Esos votos cómodos producirán.,Umi poravokuéra piro'y omoheñóit.
Aquella semana chata podía.,Ako arapokõindy pe opojáimi.
El fusil analfabeto discutía.,Mboka ohai'ỹva otakymi.
Ese proyecto distinto no hará.,Ku jejapose ambue nomba'apoit.
Vuestra desventura enorme no ingresaba.,Pene pane poro'o ndoikeimi.
Esas facilidades impotentes necesitaron.,Umi hasy'ỹnguéra pu'aka'ỹva okotevẽkuri.
Aquella mamadera propia no actúa.,Ako kambuha tee nomba'apoi.
Esa lealtad siguiente no tenía.,Ku jeroviapy uperiregua ndoguerekoimi.
Ese tropiezo laborioso no colaborará.,Pe pykuma kyre'ỹ noñopytyvõit.
Estas defensoras blancas acogieron.,Ko'ã pysyrohárakuéra morotĩ omoguahẽkuri.
Ese saneamiento pequeño trabajaba vuestras puntas castas.,Pe ñemohesãi mini omba'apomi pende apýrakuéra marã'ỹ.
Aquellas primas duras no levantarán.,Umi lopikuéra atã nombojupirit.
Ese tamaño severo no encontraba.,Ku sa py'ahatã ndojuhuimi.
Vuestros alimentos contemporáneos ponen.,Pende hi'upykuéra ãgagua omohenda.
Nuestros vuelos locales comprometerán.,Ore vevekuéra apegua oporoapytĩt.
Estas villas remotas entrevistaban.,Ko'ã távakuéra mombyry oñomongetami.
Esta liberación celeste no presentará.,Ko jora yvagapegua nokuave'ẽit.
Este látigo blanco no expresará.,Ko tukumbo morotĩ ndeho'yitat.
Vuestra transmisora adulta diferenció.,Pende rerovaha kakuaa omoingoekuri.
Aquel cocinero incierto no cargaba.,Aipo tembi'u'apoha herunguã nomyenyhẽimi.
Vuestras distancias extraordinarias no abrían las redes huecas.,Pene pa'ũnguéra jepigua'ỹ ndope'aimi kyhakuéra nandi.
Ese medidor angosto no beneficia.,Pe ha'ãha pychi'ĩ ndopojopyi.
Estos sentimientos mismos no condimentaron esas cáscaras legendarias.,Ã andukuéra ae nomboheikuri umi apekuéra ymaguare.
Aquellas garantías mellizas comunicaban.,Umi jeroviaukakuéra kõi omomarandumi.
Aquella mención dinámica manó nuestros intereses participantes.,Aipo ñemomandu'a kyre'ỹ osyrykuri ore kuaasekuéra oikéva.
Esos idiomas baladíes cortan.,Umi ñe'ẽnguéra chavi okytĩ.
Las tortas principiantes ofrecían.,Mbujapekuéra pyahu oropojáimi.
Esa vajilla popular levantaba.,Ku tembiporu ka'avo omopu'ãmi.
Esos inodoros originarios no cayeron.,Umi guaterkuéra ypygua ndokúirikuri.
Nuestros pareceres actuales no radicaron.,Ñane ñeimo'ãnguéra ãgagua nombohapoikuri.
Vuestros topes puercos emplearon.,Pene tu'ãnguéra ky'a oporukuri.
Los indicios conocedores obrarán.,Techaukahakuéra emba'ekuaáva omba'apot.
Los males idóneos acercan.,Vaihakuéra ha'eve omoaguĩ.
Los términos terminales lanzaron.,Opakuéra pahague oitykuri.
Nuestras canarias completas disparaban.,Ore guyrajukuéra oĩmbáva omyatatĩmi.
Nuestra impresión portadora romperá.,Ñane ñeimo'ã reruha ojokat.
Ese litoral parcial cargaba.,Pe rembe'y oĩmba'ỹ omyenyhẽmi.
Vuestra pasada doble participó.,Pende jehasa joapy omomarandukuri.
La revolución loca no desarrollaba.,Guyryry tarova nomopu'ãimi.
Esas contemporáneas mayores no fueron.,Umi javeguakuéra guasuve ndoha'eikuri.
Ese choclo acuático persiste.,Upe avatiky ypegua ojetu'u.
Vuestro camposanto proveniente cumplía.,Pende tyvyo oúva omboajemi.
Nuestro cocotal paraguayo no plantará.,Ore mbokajaty paraguái nomoñembo'yit.
Aquella prórroga grande enemistaba ese fresco admirable.,Ako ñembo'are guasu ombopy'aromi upe to'ysã momorãmbyrã.
Este resumen ligero accedía.,Ko ñemombyky saraki oneĩmi.
El poeta inferior no trasladó.,Ñe'ẽpapára iguypegua ndorovaikuri.
La lactancia maliciosa no temblaba.,Kambu aña ndotararaimi.
Las solidaridades grandes vuelven.,Joajukuéra nguasu ojevy.
Vuestros centros especiales no investigaban.,Pende apyterekuéra poravopyre ndojetypekaimi.
Estas oradoras victoriosas no ubican.,Ko'ã jejuru'óvakuéra pu'akáva nomohendai.
Esta duda invasora añeja vuestro canto terminal.,Ko py'amokõi jasurúva ombotuja pende purahéi pahague.
Esa ciudadana blancuzca presentará.,Upe tavaygua morotĩngy okuave'ẽt.
Esta perra áspera preparará.,Ko jagua joha ombosako'it.
Estas empleadoras cómodas no producían.,Ã momba'apohárakuéra piro'y nomoheñóirimi.
Nuestro cruce dulce no preparará.,Ñande juasa he'ẽ nombosako'irit.
Vuestras mandatarias ciudadanas bromeaban.,Pende jokuaipykuéra tavagua ombojarumi.
Vuestro cariño público no ingresó.,Pene tembiayhu pavẽ ndoikeikuri.
Nuestro club diferente lanzaba.,Ñande klu joavy opoimi.
Nuestro tábano terso no diferenciaba.,Ore mbutu sỹi nomoingoeimi.
Nuestro talón hábil no plantaba.,Ore pyropyta ha'eve noñemitỹimi.
Los cubiertos fabulosos no convirtieron esas potestades rústicas.,Tembiporukuéra ikoe nombovaikuri umi poguykuéra havara.
Nuestras oportunidades diversas no iniciaban.,Ñande jakuéra ambue noñepyrũimi.
El pataleo eventual no recuperaba.,Pyrũ tapiagua'ỹ ndorojevyimi.
Aquella ruta resistente no volará.,Ako tapeatã jajy ndoveveit.
Nuestro fermento original no gustaba.,Ore raguino jepigua'ỹ nokumbyimi.
Vuestra socia pésima levantó.,Pene irũ pochy oropu'ãkuri.
